episode,step,ego_speed,ttc_left,ttc_center,ttc_right,action,reward,done,truncated,crashed,trip_time
0,0,25.0,5.0,10.0,1.0,1.0,0.0,False,False,False,0.0
0,1,25.0,2.0,10.0,1.0,1.0,0.8666666666666667,False,False,False,1.0
0,2,25.0,1.0,10.0,1.0,1.0,0.8666666666666667,False,False,False,2.0
0,3,25.0,4.0,10.0,1.0,1.0,0.8666666666666667,False,False,False,3.0
0,4,25.0,10.0,10.0,1.0,1.0,0.8666666666666667,False,False,False,4.0
0,5,25.0,10.0,10.0,1.0,1.0,0.8666666666666667,False,False,False,5.0
0,6,25.0,10.0,9.0,1.0,1.0,0.8666666666666667,False,False,False,6.0
0,7,25.0,9.0,8.0,1.0,1.0,0.8666666666666667,False,False,False,7.0
0,8,25.0,8.0,7.0,1.0,1.0,0.8666666666666667,False,False,False,8.0
0,9,25.0,7.0,7.0,1.0,1.0,0.8666666666666667,False,False,False,9.0
0,10,25.0,6.0,6.0,1.0,1.0,0.8666666666666667,False,False,False,10.0
0,11,25.0,5.0,5.0,1.0,1.0,0.8666666666666667,False,False,False,11.0
0,12,25.0,5.0,4.0,1.0,1.0,0.8666666666666667,False,False,False,12.0
0,13,25.0,4.0,3.0,1.0,1.0,0.8666666666666667,False,False,False,13.0
0,14,25.0,3.0,2.0,1.0,4.0,0.8666666666666667,False,False,False,14.0
0,15,21.0,10.0,10.0,1.0,1.0,0.750891632373114,False,False,False,15.0
0,16,20.0,10.0,10.0,1.0,1.0,0.735645537322111,False,False,False,16.0
0,17,20.0,10.0,10.0,1.0,1.0,0.7336378211014029,False,False,False,17.0
0,18,20.0,10.0,10.0,1.0,1.0,0.7333734304879762,False,False,False,18.0
0,19,20.0,10.0,10.0,1.0,1.0,0.7333386136170722,False,False,False,19.0
0,20,20.0,10.0,10.0,1.0,1.0,0.73333402867934,False,False,False,20.0
0,21,20.0,10.0,10.0,1.0,1.0,0.7333334249015317,False,False,False,21.0
0,22,20.0,10.0,10.0,1.0,1.0,0.7333333453916969,False,False,False,22.0
0,23,20.0,10.0,10.0,1.0,1.0,0.733333334921266,False,False,False,23.0
0,24,20.0,10.0,10.0,1.0,1.0,0.7333333335424438,False,False,False,24.0
0,25,20.0,10.0,10.0,1.0,1.0,0.7333333333608705,False,False,False,25.0
0,26,20.0,10.0,10.0,1.0,1.0,0.7333333333369597,False,False,False,26.0
0,27,20.0,10.0,10.0,1.0,1.0,0.7333333333338109,False,False,False,27.0
0,28,20.0,10.0,10.0,1.0,1.0,0.7333333333333963,False,False,False,28.0
0,29,20.0,10.0,10.0,1.0,1.0,0.7333333333333415,False,False,False,29.0
0,30,20.0,10.0,10.0,1.0,,0.7333333333333344,False,True,False,30.0
