episode,step,ego_speed,ttc_left,ttc_center,ttc_right,action,reward,done,truncated,crashed,trip_time
0,0,30.0,10.0,10.0,1.0,4.0,0.0,False,False,False,0.0
0,1,26.0,10.0,10.0,1.0,4.0,0.9539382352570078,False,False,False,1.0
0,2,21.0,7.0,10.0,1.0,4.0,0.9000050568533211,False,False,False,2.0
0,3,20.0,10.0,7.0,1.0,4.0,0.8907885112081384,False,False,False,3.0
0,4,20.0,10.0,5.0,1.0,4.0,0.8892135119934819,False,False,False,4.0
0,5,20.0,10.0,5.0,1.0,4.0,0.8889443631581516,False,False,False,5.0
0,6,20.0,10.0,4.0,1.0,4.0,0.8888983687888303,False,False,False,6.0
0,7,20.0,10.0,4.0,1.0,4.0,0.8888905088922543,False,False,False,7.0
0,8,20.0,7.0,4.0,1.0,4.0,0.888889165728404,False,False,False,8.0
0,9,20.0,4.0,4.0,1.0,4.0,0.888888936197505,False,False,False,9.0
0,10,20.0,10.0,3.0,10.0,3.0,0.8888888969733748,False,False,False,10.0
0,11,24.0,5.0,1.0,10.0,,0.3793950994578691,True,False,True,11.0
1,0,30.0,10.0,10.0,1.0,4.0,0.0,False,False,False,0.0
1,1,26.0,10.0,10.0,1.0,4.0,0.9539382352570078,False,False,False,1.0
1,2,21.0,10.0,10.0,1.0,4.0,0.9000050568533211,False,False,False,2.0
1,3,20.0,10.0,10.0,1.0,4.0,0.8907885112081384,False,False,False,3.0
1,4,20.0,10.0,10.0,1.0,4.0,0.8892135119934819,False,False,False,4.0
1,5,20.0,10.0,10.0,1.0,4.0,0.8889443631581516,False,False,False,5.0
1,6,20.0,10.0,10.0,1.0,4.0,0.8888983687888303,False,False,False,6.0
1,7,20.0,10.0,10.0,1.0,4.0,0.8888905088922543,False,False,False,7.0
1,8,20.0,7.0,7.0,1.0,4.0,0.888889165728404,False,False,False,8.0
1,9,20.0,6.0,6.0,1.0,4.0,0.888888936197505,False,False,False,9.0
1,10,20.0,6.0,10.0,10.0,3.0,0.8888888969733748,False,False,False,10.0
1,11,24.0,3.0,10.0,10.0,3.0,0.9349506550134247,False,False,False,11.0
1,12,29.0,1.0,5.0,5.0,4.0,0.9888838322716574,False,False,False,12.0
1,13,26.0,1.0,9.0,1.0,4.0,0.9520386129781032,False,False,False,13.0
1,14,21.0,2.0,10.0,1.0,4.0,0.8996804337556226,False,False,False,14.0
1,15,20.0,1.0,10.0,1.0,4.0,0.8907330369400538,False,False,False,15.0
1,16,20.0,10.0,10.0,1.0,,0.8892040320937417,True,False,False,16.0
2,0,30.0,10.0,10.0,1.0,4.0,0.0,False,False,False,0.0
2,1,26.0,10.0,10.0,1.0,4.0,0.9539382352570078,False,False,False,1.0
2,2,21.0,10.0,10.0,1.0,4.0,0.9000050568533211,False,False,False,2.0
2,3,20.0,10.0,10.0,1.0,4.0,0.8907885112081384,False,False,False,3.0
2,4,20.0,10.0,10.0,1.0,4.0,0.8892135119934819,False,False,False,4.0
2,5,20.0,10.0,10.0,1.0,4.0,0.8889443631581516,False,False,False,5.0
2,6,20.0,10.0,10.0,1.0,4.0,0.8888983687888303,False,False,False,6.0
2,7,20.0,10.0,10.0,1.0,4.0,0.7667422152816781,False,False,False,7.0
2,8,20.0,10.0,10.0,1.0,4.0,0.744020770130719,False,False,False,8.0
2,9,20.0,7.0,7.0,1.0,4.0,0.719281089788393,False,False,False,9.0
2,10,20.0,10.0,10.0,4.0,1.0,0.6911466659699458,False,False,False,10.0
2,11,20.0,10.0,10.0,2.0,4.0,0.6622635954908561,False,False,False,11.0
2,12,20.0,10.0,10.0,1.0,4.0,0.6374820170309263,False,False,False,12.0
2,13,20.0,10.0,10.0,1.0,4.0,0.6203919894532526,False,False,False,13.0
2,14,20.0,10.0,10.0,1.0,4.0,0.6113180147425225,False,False,False,14.0
2,15,20.0,10.0,10.0,1.0,4.0,0.608053700732078,False,False,False,15.0
2,16,20.0,10.0,10.0,1.0,4.0,0.6078311362594401,False,False,False,16.0
2,17,20.0,10.0,10.0,1.0,,0.6088526453306194,True,False,False,17.0
3,0,30.0,10.0,10.0,1.0,4.0,0.0,False,False,False,0.0
3,1,26.0,10.0,10.0,1.0,4.0,0.9539382352570078,False,False,False,1.0
3,2,21.0,10.0,10.0,1.0,4.0,0.9000050568533211,False,False,False,2.0
3,3,20.0,10.0,10.0,1.0,4.0,0.8907885112081384,False,False,False,3.0
3,4,20.0,10.0,10.0,1.0,4.0,0.8892135119934819,False,False,False,4.0
3,5,20.0,10.0,10.0,1.0,4.0,0.8889443631581516,False,False,False,5.0
3,6,20.0,10.0,10.0,1.0,4.0,0.8888983687888303,False,False,False,6.0
3,7,20.0,10.0,10.0,1.0,4.0,0.7667422152816781,False,False,False,7.0
3,8,20.0,10.0,10.0,1.0,4.0,0.744020770130719,False,False,False,8.0
3,9,20.0,7.0,7.0,1.0,4.0,0.719281089788393,False,False,False,9.0
3,10,20.0,10.0,10.0,4.0,1.0,0.6911466659699458,False,False,False,10.0
3,11,20.0,10.0,10.0,2.0,4.0,0.6622635954908561,False,False,False,11.0
3,12,20.0,10.0,10.0,1.0,4.0,0.6374820170309263,False,False,False,12.0
3,13,20.0,10.0,10.0,1.0,4.0,0.6203919894532526,False,False,False,13.0
3,14,20.0,10.0,10.0,1.0,4.0,0.6113180147425225,False,False,False,14.0
3,15,20.0,10.0,10.0,1.0,4.0,0.608053700732078,False,False,False,15.0
3,16,20.0,10.0,10.0,1.0,4.0,0.6078311362594401,False,False,False,16.0
3,17,20.0,10.0,10.0,1.0,,0.6088526453306194,True,False,False,17.0
4,0,30.0,10.0,10.0,1.0,4.0,0.0,False,False,False,0.0
4,1,26.0,10.0,10.0,1.0,4.0,0.9539382352570078,False,False,False,1.0
4,2,21.0,8.0,10.0,1.0,4.0,0.9000050568533211,False,False,False,2.0
4,3,20.0,10.0,9.0,1.0,4.0,0.8907885112081384,False,False,False,3.0
4,4,20.0,10.0,7.0,1.0,4.0,0.8892135119934819,False,False,False,4.0
4,5,20.0,10.0,6.0,1.0,4.0,0.8889443631581516,False,False,False,5.0
4,6,20.0,10.0,5.0,1.0,4.0,0.8888983687888303,False,False,False,6.0
4,7,20.0,10.0,5.0,1.0,4.0,0.7667422152816781,False,False,False,7.0
4,8,20.0,10.0,7.0,1.0,4.0,0.744020770130719,False,False,False,8.0
4,9,20.0,7.0,7.0,1.0,4.0,0.719281089788393,False,False,False,9.0
4,10,20.0,5.0,10.0,4.0,3.0,0.6911466659699458,False,False,False,10.0
4,11,24.0,1.0,10.0,2.0,4.0,0.7083253602338483,False,False,False,11.0
4,12,21.0,3.0,10.0,1.0,4.0,0.645353430691621,False,False,False,12.0
4,13,20.0,2.0,2.0,2.0,4.0,0.6217371214377406,False,False,False,13.0
4,14,20.0,2.0,10.0,1.0,4.0,0.6115478819726908,False,False,False,14.0
4,15,20.0,2.0,10.0,1.0,4.0,0.6080929823372397,False,False,False,15.0
4,16,20.0,2.0,10.0,1.0,4.0,0.6078378490235994,False,False,False,16.0
4,17,20.0,1.0,10.0,1.0,,0.6088537924630361,True,False,False,17.0
5,0,30.0,10.0,10.0,1.0,4.0,0.0,False,False,False,0.0
5,1,26.0,10.0,10.0,1.0,4.0,0.9539382352570078,False,False,False,1.0
5,2,21.0,10.0,10.0,1.0,4.0,0.9000050568533211,False,False,False,2.0
5,3,20.0,10.0,9.0,1.0,4.0,0.8907885112081384,False,False,False,3.0
5,4,20.0,10.0,7.0,1.0,4.0,0.8892135119934819,False,False,False,4.0
5,5,20.0,10.0,6.0,1.0,4.0,0.8889443631581516,False,False,False,5.0
5,6,20.0,10.0,6.0,1.0,4.0,0.8888983687888303,False,False,False,6.0
5,7,20.0,10.0,6.0,1.0,4.0,0.7667422152816781,False,False,False,7.0
5,8,20.0,10.0,8.0,1.0,4.0,0.744020770130719,False,False,False,8.0
5,9,20.0,6.0,6.0,1.0,4.0,0.719281089788393,False,False,False,9.0
