#{"t_start": 1745810742.5972137, "env_id": "highway-v0"}
r,l,t
3.48739,5,2.656134
3.437294,5,3.752821
2.248901,4,4.625082
11.681934,16,8.017998
16.106621,18,11.855591
30.728281,40,20.433899
3.615036,5,21.500814
2.817663,4,22.36604
8.999649,11,24.726269
6.837946,8,26.440876
14.257168,18,30.282343
10.911134,14,33.25262
14.634493,17,36.857731
32.253333,40,45.553612
16.410337,19,49.608561
17.57637,23,54.52345
27.925378,35,62.145965
8.279661,10,64.386305
12.749062,14,67.527797
1.753497,3,68.196522
12.435201,14,71.37264
10.934887,15,74.61175
2.954694,4,75.481879
22.502579,30,81.882959
2.531261,4,82.751611
13.06276,16,86.20536
8.064579,10,88.359799
18.831242,24,93.527391
2.68507,4,94.395503
35.483415,40,102.904136
1.973321,3,103.558045
8.415746,10,105.705786
16.953214,19,109.817486
1.97209,3,110.471816
16.522764,21,114.92952
8.416235,11,117.277773
5.380764,7,118.783533
5.19313,7,120.283068
10.730727,12,122.866997
13.591022,15,126.074378
1.86221,3,126.728219
8.326579,10,128.870635
15.160097,17,132.48924
4.795324,6,133.765408
4.977351,7,135.264322
4.152002,5,136.357461
9.863406,13,139.166911
8.039034,10,141.300344
2.794878,4,142.164645
11.214675,13,144.94522
2.089647,3,145.600206
16.926263,19,149.663452
7.349082,9,151.600461
11.394063,13,154.38979
8.502053,10,156.534379
3.638642,5,157.618323
5.480893,7,159.133141
3.473845,5,160.213868
5.483653,7,161.711779
4.117637,5,162.785249
2.447407,4,163.655417
5.639322,7,165.173858
11.929902,14,168.209987
8.710062,11,170.568595
2.016534,3,171.217771
9.73277,13,174.020165
4.069467,5,175.103887
4.021459,5,176.180728
2.016534,3,176.82442
1.043342,2,177.272418
8.206834,9,179.202943
5.728075,7,180.725152
6.021453,7,182.236377
7.202741,8,183.955146
6.619206,9,185.877511
22.881276,25,191.254662
1.173321,2,191.703654
14.229059,15,194.91507
4.802741,6,196.20217
15.505989,19,200.273818
19.86245,23,205.158548
11.270949,13,207.921749
22.4,29,214.102734
1.97209,3,214.75637
12.439185,15,217.983563
6.579586,8,219.700808
1.839988,3,220.367972
5.088889,7,221.865218
14.4,19,225.969931
29.036648,36,233.671354
32.560811,40,242.260651
5.089703,6,243.567247
12.039185,13,246.355316
8.824031,11,248.718147
8.594741,10,250.848049
22.333645,26,256.487664
18.815728,24,261.648245
7.949056,9,263.577215
15.951084,21,268.075733
1.928877,3,268.72607
8.933333,12,271.322664
