#{"t_start": 1743031781.3462484, "env_id": "highway-fast-v0"}
r,l,t
12.445511,15,3.814647
12.701107,18,6.093641
1.879667,3,6.451414
4.179163,5,7.074087
3.432089,5,7.681454
9.584714,12,9.219667
11.54281,13,10.850698
3.851987,6,11.610142
4.181198,6,12.348577
2.599378,4,12.782095
8.477619,10,13.83028
7.229515,9,14.758267
4.964855,7,15.451444
7.412452,10,16.485154
5.233895,8,17.253905
2.113158,3,17.545067
1.815153,3,17.820388
4.853508,7,18.59547
7.479307,9,19.59809
12.478977,17,21.289829
14.732734,20,23.765285
1.832045,3,24.133489
14.198438,18,26.514546
4.133333,6,27.177423
17.579779,22,29.555846
1.953097,3,29.817293
1.180129,2,29.996555
4.046452,5,30.481546
6.886445,8,31.234381
4.846446,6,31.869949
13.412168,15,33.821795
6.745158,8,34.553368
2.153097,3,34.853973
2.74782,4,35.206712
6.011911,7,35.996127
4.912496,6,36.752711
12.518686,15,38.322932
21.313112,26,41.47306
6.753112,8,42.506633
3.019142,4,43.014618
1.898711,3,43.401203
8.298711,11,44.7618
1.799377,3,45.020625
8.046445,9,45.915117
11.41264,13,47.424504
2.046796,3,47.754028
7.93356,9,48.682581
4.4,6,49.322569
9.645823,11,50.847263
2.913463,4,51.32355
17.085975,18,53.323569
4.365378,6,54.04969
9.119317,10,55.213647
24.550509,30,58.549844
12.779157,14,60.241697
19.27885,22,62.507498
16.212154,18,64.458858
9.578018,11,65.870985
7.952463,10,67.086378
11.432044,15,68.866467
7.745157,9,69.853361
3.713118,5,70.339869
4.646173,6,71.108791
6.851824,8,72.073371
5.912491,7,72.968091
9.912489,11,74.34086
11.2,15,75.877318
2.632044,4,76.320547
7.645824,9,77.393909
4.313113,5,77.960696
7.91249,9,79.006887
5.67869,7,79.633961
9.733333,13,81.332751
8.412193,10,82.879653
2.74782,4,83.448782
10.91249,12,85.276205
20.846445,25,88.513015
24.952932,30,93.007074
16.296242,18,95.58915
22.819598,30,100.115999
8.980129,11,101.670826
13.645823,15,103.965806
9.779156,11,105.591202
2.180129,3,106.075092
24.745553,30,110.512615
10.93067,12,112.357577
3.498711,5,113.152692
18.878849,20,115.934029
3.532711,5,116.640824
4.413463,6,117.482886
10.544865,12,119.238623
9.633333,13,121.02521
4.01187,5,121.774041
10.612154,12,123.598271
12.145487,14,125.64092
4.752475,6,126.546022
7.246796,9,127.905551
9.313119,12,129.741528
9.478541,12,131.462659
21.000043,30,135.990333
9.545758,14,138.18809
4.879785,6,139.132384
21.846173,28,143.45567
16.776257,19,146.478345
7.119317,8,147.670084
22.368371,29,152.013993
12.953554,16,154.320374
2.049108,3,154.703678
7.478496,9,155.909012
5.545203,7,156.874045
10.244198,12,158.745501
14.344685,17,161.282163
24.251526,30,165.942405
10.512489,12,167.682402
5.617558,8,168.746855
20.076585,24,172.338799
9.013112,10,173.698055
5.611539,7,174.628651
9.063382,10,176.172793
10.011824,11,177.934761
2.598711,4,178.510424
3.632089,5,179.186311
23.319263,30,183.781765
9.779779,11,185.284225
4.0,6,186.204297
5.51284,7,187.111069
1.765379,3,187.477642
22.152931,30,191.769726
15.116601,17,194.489176
9.811824,12,196.172635
21.753555,30,200.808439
22.252931,30,205.458624
20.253554,30,210.071873
25.609918,30,214.250934
11.87849,13,216.301399
12.011824,13,218.278223
25.383736,30,222.874728
21.945485,28,227.217961
7.713118,10,228.611628
12.11107,14,230.587162
24.744864,27,234.421083
20.475626,23,237.066809
20.145487,28,240.734555
4.366667,6,241.311784
6.486445,8,242.148555
10.144911,13,243.885976
17.277239,19,246.203786
12.01107,15,248.023415
8.412154,10,249.077576
12.646452,16,250.824066
6.451649,8,251.601118
13.112154,15,253.326755
9.713112,12,254.92084
15.812154,19,256.95416
5.78124,8,257.846323
21.720221,30,261.928588
5.015152,7,262.785576
11.811543,14,264.332753
22.820221,30,267.615422
10.498711,14,269.187915
16.879779,18,271.588047
2.466044,4,272.060556
23.84249,26,275.041503
6.632044,9,276.036779
12.210581,15,278.040492
4.646446,6,278.930735
17.310587,19,281.752645
11.111406,14,283.831489
7.644886,10,285.325937
