#{"t_start": 1744660942.2787075, "env_id": "highway-fast-v0"}
r,l,t
14.584127,20,24.29339
5.184579,7,24.390188
14.566344,21,24.673926
1.846796,3,25.286798
7.932087,11,25.432356
6.032089,8,25.54035
4.533335,6,25.62384
13.78295,20,25.895887
12.930833,16,26.108885
3.232131,5,26.177916
3.850285,6,26.261831
9.117208,11,26.410719
2.679709,4,26.467081
1.913463,3,26.510954
11.411559,13,26.688114
20.919919,30,27.091354
8.578836,10,27.228134
13.744772,15,33.502945
4.111694,5,33.581214
2.153097,3,33.628694
7.71264,9,33.763597
3.919306,5,33.838593
8.362716,10,33.986914
7.685358,9,34.120744
3.979323,5,34.197706
2.432132,4,34.258008
14.345512,19,34.538383
4.646446,6,34.629405
14.030104,17,34.879295
4.71219,6,34.972791
8.898555,11,35.135311
7.478623,9,35.270237
4.879309,6,35.360528
5.553112,7,35.468016
6.315096,8,35.588928
1.946796,3,35.637269
7.749148,10,35.786607
4.679785,6,35.877985
12.27882,14,36.085318
10.981768,14,36.294608
1.913001,3,36.341867
4.532664,6,36.434708
2.049108,3,36.482366
15.484557,17,36.736171
2.666044,4,36.797182
1.666045,3,36.844955
8.777919,11,37.008682
2.053097,3,37.054898
4.801994,7,37.160932
3.779825,5,37.237833
8.733333,11,37.404397
16.078866,22,37.729995
25.445038,30,38.177887
4.7787,6,38.269486
4.363597,6,38.359744
13.466667,17,38.611952
10.711546,12,38.793122
12.179779,13,38.990292
3.499378,5,39.067437
14.366038,16,39.307208
3.278866,4,39.370547
5.019306,6,39.462757
4.332089,6,39.556133
10.779156,12,39.735499
15.09849,20,40.035731
10.686334,13,40.23083
12.066659,16,40.469587
5.745829,7,40.576753
11.330897,15,40.801424
8.698176,11,40.966392
8.878849,10,41.117718
22.353555,30,41.563148
9.846173,12,41.744465
1.946334,3,41.792318
4.579507,6,41.885834
3.94598,5,41.964286
11.699748,16,42.200745
4.979308,6,42.294925
5.232031,7,42.403321
6.246446,8,42.525401
4.012536,5,42.601796
6.513164,9,42.737212
4.0,6,42.829356
6.098798,8,42.953474
4.012641,5,43.029731
1.279667,2,43.061598
5.644788,7,43.166655
12.979779,15,43.389864
22.900001,30,43.834871
3.533333,5,43.911513
17.744865,20,44.213933
3.012212,4,44.276258
6.546446,8,44.398869
5.313118,7,44.507528
14.785157,18,44.778449
23.052635,30,45.221209
22.385598,30,45.666335
5.513463,7,45.772807
24.552886,30,46.214422
6.099377,8,46.338421
20.585599,30,46.775547
22.153555,30,47.222977
10.779779,13,47.415311
5.279317,6,47.507306
22.884667,30,47.953376
5.064005,6,48.045507
4.879163,6,48.136859
25.46933,30,48.574031
10.378536,13,48.769065
7.199377,10,48.917707
14.118683,17,49.170561
8.079507,10,49.322262
13.411202,16,49.557955
10.219762,13,49.751245
22.020221,30,50.182553
6.4,9,50.316886
9.745157,12,50.493835
16.686138,23,50.833239
10.379157,12,51.010308
8.133333,11,51.172287
18.219779,21,51.483749
7.798711,10,51.633561
22.785819,29,52.061024
22.601374,30,52.500403
15.164755,19,52.782354
23.551064,30,53.224265
21.9184,30,53.665037
8.945487,10,53.815217
8.345163,10,53.966069
3.666667,5,54.042144
23.419606,30,54.484165
20.379825,28,54.890689
22.797648,28,55.303815
