#{"t_start": 1742960047.5558255, "env_id": "highway-v0"}
r,l,t
9.665434,14,27.686512
8.239213,11,30.299666
3.726974,5,31.494106
7.237039,9,33.642693
5.194962,7,35.308622
3.844578,6,37.240816
22.42761,30,44.340213
9.618015,13,47.492941
5.040791,7,49.154823
13.838385,20,53.968112
4.594044,6,55.403932
7.061907,9,57.607489
28.58638,35,66.208708
25.230958,29,74.699363
12.637951,14,81.498197
23.760097,25,87.657753
6.861408,8,89.598793
12.837945,14,92.923257
3.822949,5,94.11954
30.905852,38,103.270496
1.253127,2,103.764145
13.039185,14,107.178051
6.978504,8,109.107684
18.460059,24,114.921434
9.806831,11,117.581945
30.849684,40,127.362237
14.671926,21,132.415847
32.670688,40,142.217082
28.800137,40,151.979631
29.381533,40,161.732906
8.733333,11,164.408094
16.839057,22,169.653455
29.938592,40,179.407789
27.271926,40,189.239358
4.936075,6,190.702724
30.425982,40,200.652247
27.627481,40,210.341519
11.217789,14,213.69075
17.779586,24,219.532768
31.005259,40,229.016748
31.03769,40,238.799101
28.316215,40,248.46781
27.890849,37,257.515399
28.427481,40,267.276225
28.714302,40,277.086857
1.119793,2,277.574156
17.694143,23,283.131356
28.021994,40,293.032517
14.477589,17,297.319326
8.088889,11,299.931092
4.372656,6,301.419837
8.1332,10,303.880115
10.267165,15,307.617437
30.160815,40,317.691264
31.049704,40,327.696146
26.827481,40,337.603771
27.225982,40,347.576623
27.627481,40,357.546257
1.119793,2,358.041838
29.360815,40,367.920353
28.803368,40,378.046265
31.360815,40,387.966163
7.309049,10,390.381378
27.360815,40,399.695526
29.90642,40,409.472522
29.71637,40,418.93816
27.311319,40,428.856462
17.306765,24,434.765941
27.958078,40,444.736395
26.827481,40,454.531876
30.227481,40,464.647351
7.0,9,466.724983
1.733333,3,467.43146
28.071222,40,477.48085
28.183037,40,487.267916
30.647642,40,497.124774
13.444657,19,501.850356
5.637937,7,503.544809
6.771024,8,505.516977
28.138018,40,515.4735
27.824226,40,525.67683
28.599107,40,535.505275
28.027481,40,545.300577
5.507076,7,546.935053
29.916366,40,556.590824
27.646447,40,566.443997
8.847407,12,569.269116
28.025982,40,579.140582
26.958919,40,588.952091
29.425325,40,598.714089
19.585974,25,604.722623
31.599999,40,614.175965
26.87124,40,624.05638
26.848199,40,633.841747
29.737094,40,644.251364
7.360811,10,646.617071
32.105853,40,656.682855
22.637714,28,664.365365
1.844721,3,665.180527
29.383037,40,675.972608
8.60144,12,679.513051
6.591899,8,681.821019
1.931834,3,682.657522
26.716347,40,694.83911
27.803089,40,706.990054
28.827481,40,718.834593
31.494148,40,730.85755
30.036726,40,743.132196
32.044468,40,755.004591
3.397302,5,756.545882
21.594477,30,766.248542
28.57978,40,778.944168
27.382904,40,791.620831
27.246443,40,803.956999
28.027481,40,815.886262
16.449704,25,823.21745
2.665168,4,824.332232
29.294148,40,835.268992
26.981533,40,846.724355
16.427481,22,853.416816
30.285754,39,864.850246
29.757577,40,876.884003
27.91637,40,888.99844
16.719897,22,895.662163
30.292649,40,907.696827
27.381538,40,919.727592
10.505852,12,923.246067
27.760815,40,935.402356
27.728665,39,947.123066
27.071926,40,958.973667
22.004696,32,968.67901
27.248208,40,980.915352
21.825779,32,990.928133
27.760815,40,1002.022944
12.644684,16,1006.443302
4.48962,6,1007.970858
25.352779,35,1017.014424
29.092649,40,1028.906007
3.905989,5,1030.385503
5.446216,7,1032.436546
18.993507,22,1038.987448
30.005259,40,1051.258591
10.956287,13,1055.176268
9.66197,11,1058.553918
7.248439,10,1061.618986
28.755774,40,1074.122965
14.747561,16,1079.043883
22.128661,26,1086.606666
28.000137,40,1098.34997
28.045218,40,1110.08885
27.648205,40,1121.873602
28.894148,40,1133.565233
28.598001,40,1145.448175
28.373458,40,1156.95502
21.132442,28,1165.228875
4.351792,6,1166.90501
28.735104,40,1177.807021
27.894148,40,1188.23268
