#{"t_start": 1743703314.4897766, "env_id": "highway-v0"}
r,l,t
9.505744,12,2.75329
18.040364,25,6.51969
7.876369,9,7.89079
12.903572,17,10.501311
3.462847,5,11.265137
11.046657,16,13.690614
2.665168,4,14.297194
9.9723,14,16.450227
22.079539,30,21.030277
6.635108,8,22.265138
4.90438,6,23.190029
8.437321,12,25.018721
1.839988,3,25.491993
30.140728,40,31.670932
14.672448,16,34.208236
11.306876,14,36.341283
3.531834,5,37.111726
11.971024,14,39.24556
8.11292,9,40.623713
14.728292,18,43.369427
3.2,5,44.134597
19.039186,22,47.493006
6.133333,8,48.704264
7.480392,9,50.071705
4.7503,6,50.977139
15.221294,18,53.716616
16.134575,18,56.436426
13.976613,15,58.741348
16.517687,19,61.648878
10.372519,12,63.474807
4.091632,5,64.253239
6.08739,8,65.473201
3.039322,4,66.091082
8.347584,10,67.620234
5.747063,7,68.685437
1.928877,3,69.152602
4.398501,6,70.074701
5.265168,7,71.156419
5.568181,7,72.221238
13.77102,15,74.513035
4.884141,7,75.580324
3.330086,5,76.354966
18.392083,20,79.422291
4.463406,6,80.355903
10.594631,14,82.507519
7.039185,8,83.737775
3.509612,5,84.514517
3.508375,5,85.276224
3.928098,5,86.044733
9.039185,10,87.573971
19.768442,23,91.108372
14.088084,15,93.396537
24.637686,26,97.381851
12.269408,14,99.522083
18.002741,20,102.596464
4.202743,5,103.368111
7.523836,10,104.894624
25.081325,27,109.07285
13.300269,15,111.375217
12.23671,14,113.499583
6.681331,8,114.721283
8.861274,11,116.394538
9.544979,11,118.064393
16.523836,19,120.998653
24.235103,28,125.290828
12.745805,15,127.572997
11.236533,13,129.568098
7.365191,9,130.950955
1.119793,2,131.263802
12.604831,16,133.714403
1.134547,2,134.028613
1.820164,3,134.495175
11.531881,14,136.632012
26.783014,40,142.755813
6.372538,8,143.993152
10.104376,12,145.838834
6.534579,8,147.083137
7.972519,10,148.616956
10.221453,12,150.448669
7.156282,9,151.81659
20.905852,27,155.933863
4.4,6,156.860022
16.966197,21,160.092115
14.639209,21,163.311364
9.085565,11,164.999804
4.802741,6,165.927747
18.276285,20,168.98499
5.572519,7,170.066236
29.037302,40,176.255281
