#{"t_start": 1742783048.3153129, "env_id": "merge-v0"}
r,l,t
7.164165,8,3.104527
5.724598,7,3.819623
3.2,4,4.261467
6.922954,8,5.105525
5.929147,7,5.811726
3.169612,4,6.241194
4.180416,5,6.74454
7.090097,8,7.557045
6.131814,7,8.147911
4.96676,6,8.805002
13.939566,16,10.61743
5.275899,6,11.262982
6.828229,8,12.103818
7.100501,8,13.025759
4.999397,6,13.664972
6.069795,7,14.356901
10.230884,12,15.693684
8.192347,10,16.797363
5.182436,6,17.427055
3.177783,4,17.860092
4.997499,6,18.546599
7.163733,8,19.365582
4.13701,5,19.902651
4.262736,5,20.387858
4.021947,5,20.908631
13.161781,15,22.58058
5.129181,6,23.229193
4.04483,5,23.897317
10.139875,12,25.216736
3.785106,5,25.71112
3.930526,5,26.278069
5.748121,7,27.118604
10.139875,12,28.50404
5.79879,7,29.374614
3.088889,4,29.85338
5.818148,7,30.649366
6.590098,8,31.554152
4.005556,5,32.079467
4.87232,6,32.736567
5.861111,7,33.593781
10.139875,12,35.091952
4.027778,5,35.649069
7.575274,10,36.90558
4.914788,6,37.568871
10.139875,12,38.929066
3.840098,5,39.547225
5.861111,7,40.352364
5.722759,7,41.17499
3.947389,5,41.768027
6.571325,8,42.731647
3.068148,4,43.191851
3.04879,4,43.676076
5.888889,7,44.505283
8.974831,11,45.839205
10.139875,12,47.260198
5.861111,7,48.125901
4.929147,6,48.819444
5.76386,7,49.652867
10.149369,12,51.113493
3.04879,4,51.599515
5.683835,7,52.443746
5.748121,7,53.253986
5.780723,7,54.084846
3.030723,4,54.556529
6.590098,8,55.543073
4.830832,6,56.232941
3.930526,5,56.842452
5.733431,7,57.676913
10.139875,12,59.116513
3.930526,5,59.708837
5.861111,7,60.546627
5.706925,7,61.4305
6.691499,8,62.37627
10.816996,12,63.840323
5.818148,7,64.694675
5.861111,7,65.528527
3.840098,5,66.118233
5.719721,7,66.956287
5.861111,7,67.782366
4.737991,6,68.482834
4.033333,5,69.048755
5.838889,7,69.874001
4.803054,6,70.585917
5.748121,7,71.396937
10.139875,12,72.85824
10.139875,12,74.276874
5.838889,7,75.110625
3.914788,5,75.676498
10.19543,12,77.140962
3.821325,5,77.704197
10.19543,12,79.13803
11.0,12,80.56525
10.167653,12,82.068646
4.767168,6,82.772567
4.767168,6,83.494099
3.111111,4,83.913253
4.005556,5,84.493136
10.139875,12,85.929716
4.027778,5,86.53415
6.580387,8,87.459603
3.930526,5,88.043676
9.494259,12,89.462467
3.088889,4,89.906892
10.577273,13,91.459689
4.803054,6,92.184444
4.872227,6,92.89762
10.067658,12,94.37403
3.111111,4,94.845629
5.861111,7,95.696759
3.965457,5,96.228777
4.756764,6,96.96471
4.005556,5,97.513485
10.139875,12,98.881198
5.861111,7,99.742415
3.030723,4,100.198722
10.167653,12,101.660722
10.167653,12,103.141907
4.04879,5,103.742909
10.139875,12,105.207943
3.900098,5,105.71428
4.784542,6,106.427655
6.052165,8,107.414231
4.873592,6,108.145299
10.139875,12,109.596888
3.086278,4,110.073874
3.900098,5,110.652107
5.818148,7,111.50704
3.906057,5,112.124992
3.068148,4,112.606963
4.005556,5,113.230182
5.76386,7,114.08528
5.818148,7,114.877893
10.927783,12,116.314409
3.947389,5,116.895634
3.984815,5,117.462625
5.76386,7,118.326123
4.790258,6,119.041779
3.030723,4,119.522856
4.767168,6,120.234391
2.998121,4,120.7299
4.803054,6,121.458761
10.139875,12,122.933743
5.780723,7,123.812292
5.922222,7,124.660666
10.167653,12,126.19281
10.067658,12,127.63919
3.947389,5,128.174737
3.821325,5,128.749214
3.930526,5,129.31544
3.970343,5,129.91431
3.088889,4,130.373845
4.747054,6,131.080498
10.139875,12,132.548556
10.139875,12,133.952654
5.748121,7,134.838605
5.76386,7,135.666863
3.975167,5,136.276324
10.139875,12,137.702424
5.706925,7,138.574697
