#{"t_start": 1744768078.8782742, "env_id": "merge-v0"}
r,l,t
6.95248,8,1.101143
3.986082,5,1.143455
8.752423,11,1.236882
6.746838,8,1.306849
4.200252,5,1.348649
11.938927,14,1.480212
5.873732,7,1.538113
3.352561,4,1.571421
5.760883,7,1.629111
4.882976,6,1.67941
9.747059,11,1.774316
5.805979,7,1.832089
6.169489,7,1.890671
9.272468,13,2.000395
5.069396,6,2.050181
4.152308,5,2.092546
4.87688,6,2.143823
7.723803,10,2.226223
6.699256,8,2.295863
6.87688,8,2.364548
10.381696,14,2.480196
13.735352,16,2.617954
12.180999,14,2.737276
5.873592,7,2.942961
10.250986,12,3.061297
3.830387,5,3.11116
4.859232,6,3.170297
3.025899,4,3.210333
4.778315,6,3.269835
5.733431,7,3.339998
3.821325,5,3.389753
10.19543,12,3.508869
5.772296,7,3.578852
6.580387,8,3.660888
6.580387,8,3.74228
10.139875,12,3.86105
5.861111,7,3.931378
4.747054,6,3.993458
10.139875,12,4.110727
5.719721,7,4.180261
6.590098,8,4.26118
3.068148,4,4.301406
4.027778,5,4.350811
4.778315,6,4.410132
3.04879,4,4.450984
4.803054,6,4.511393
10.19543,12,4.630054
5.838889,7,4.700699
10.223208,12,4.821363
10.139875,12,4.940155
4.025277,5,4.990231
11.083333,12,5.109439
4.005556,5,5.158904
5.79879,7,5.228201
5.748121,7,5.298172
3.965457,5,5.34757
4.778315,6,5.407785
3.01386,4,5.448051
3.840098,5,5.498908
6.571325,8,5.580382
5.663721,7,5.651194
5.780723,7,5.721737
10.139875,12,5.840714
6.667204,8,5.921877
10.139875,12,6.041214
4.767168,6,6.101348
3.088889,4,6.142112
10.702264,12,6.26262
3.965457,5,6.313271
5.706925,7,6.383639
5.694982,7,6.453769
6.590098,8,6.535293
5.711613,7,6.606038
4.756764,6,6.665753
5.79879,7,6.736072
6.571325,8,6.817283
5.683835,7,6.887731
3.858165,5,6.938063
10.139875,12,7.05652
3.914788,5,7.106274
3.030723,4,7.146874
4.790258,6,7.206221
10.139875,12,7.326449
9.1405,12,7.450129
5.733431,7,7.521339
10.563375,12,7.644109
10.139875,12,7.765955
5.818148,7,7.835711
3.78259,5,7.88543
5.76386,7,7.955448
11.0,12,8.07512
6.590098,8,8.158104
3.821325,5,8.208144
11.055556,12,8.327218
10.139875,12,8.448686
3.04879,4,8.489173
3.900098,5,8.540388
4.847193,6,8.599687
3.886388,5,8.650532
10.139875,12,8.769167
5.747499,7,8.838933
3.111111,4,8.878937
5.780723,7,8.949486
3.068148,4,8.989635
4.767168,6,9.049793
3.998121,5,9.100328
4.005556,5,9.150324
6.599102,8,9.231043
3.900098,5,9.283243
3.030723,4,9.323862
4.021012,5,9.373289
5.733431,7,9.443676
11.0,12,9.563229
5.748121,7,9.633723
3.04879,4,9.674539
5.761209,7,9.744965
3.965457,5,9.795061
10.139875,12,9.917119
5.79879,7,9.987421
